,n_head,perplexity
0,1,7.0332240765603045
1,2,6.797887848805602
2,3,6.632484051803076
3,4,6.657661681084904
4,5,6.591785128899953
5,6,6.55917028098234
6,7,6.547979638958891
7,8,6.560634877854011
