n_head,head_size,perplexity
1,128,6.9495220156764335
2,64,6.752978413593995
3,42,6.675628857098187
4,32,6.657577268461577
5,25,6.657180124448376
6,21,6.657347065489014
7,18,6.568255256745378
8,16,6.749016765781549
16,8,6.75858133952623
32,4,6.8106074499699885
64,2,6.8293321225299
