,head_size,n_head,perplexity,min_opt_val,log_min_opt_val
0,25,5,1.0,6.461495202242084,1.86586074646826
1,16,8,1.0,1.6053466735539272,0.4733397292419605
2,8,16,1.0,0.0001312097486407815,-8.938713380550173
3,4,32,1.0,1.2882755414445057e-05,-11.25962093047482
4,2,64,1.0,1.3107908739762308e-05,-11.242294789330588
